Array.ORF;rep1;rep2;FY5;log.mean.mol;log.median.mol;Pramila.Hits;Spellman.Hits;Orlando.Hits;Granovskaia.Hits;Kelliher.Hits
YPL038W-A;0.06668;-0.01653;5.8967699191;;;0;0;0;0;1
YPL039W;-0.07623;-6e-05;8.6364943858;;;0;0;0;0;1
YPL040C;0.04967;0.04304;7.8156973509;7.47527417877432;7.20423296024955;0;0;0;0;1
YPL045W;-0.34551;-0.11235;9.3598155905;7.57203135812961;7.49460127029546;0;0;0;0;1
YPL049C;-0.33715;-0.32471;9.0281797695;8.27815839013257;8.02084623362878;0;0;0;0;1
YPL051W;-0.03623;0.02925;6.9490882306;7.99563091627816;7.61268765561384;0;0;0;0;1
YPL053C;-0.01202;0.00449;11.3281972517;8.19724816361797;8.10618693700864;0;0;0;0;1
YPL054W;0.11513;0.10096;5.9862453694;7.10222846844788;7.10222846844788;0;1;0;0;0
YPL055C;0.12907;0.07258;8.0002719173;7.89891353890869;7.79101610869808;0;0;0;0;1
YPL057C;0.01639;0.05467;8.6577221804;7.7596673724292;7.60447323948565;1;1;0;1;0
YPL058C;0.03689;0.06183;9.7403649572;8.6458913881272;8.50666942898196;1;1;0;1;0
YPL061W;-0.04439;0.0033;13.9450953701;12.4271806756284;11.8130300574206;1;1;1;1;0
YPL066W;-0.00405;-0.07842;8.4309665571;7.98024355034095;7.72223474470961;1;0;1;0;1
YPL070W;-0.03029;0.01846;6.9409373676;7.83490446088353;7.61972630389841;0;0;0;0;1
YPL072W;-0.02003;0.03741;7.5957379193;7.17434979582986;6.76562196639679;0;0;1;0;1
YPL074W;-0.34824;-0.35584;8.9945569302;6.95180530431016;6.90830718829754;1;0;0;0;1
YPL084W;0.11238;0.14416;9.1577390627;8.72187852520252;8.47218305712038;0;0;0;0;1
YPL088W;0.02346;0.04653;9.2576643674;8.12551417790541;7.95050243480885;0;0;1;0;0
YPL091W;0.00242;-0.04;10.8658313013;9.52475572176589;8.98644118770105;0;0;0;0;1
YPL092W;-0.01791;-0.00292;10.1792916203;6.76318632963363;6.76318632963363;1;0;1;0;0
YPL095C;0.03275;0.01891;12.3326114933;6.68428762203618;6.54426625270793;0;1;0;0;0
YPL096C-A;-0.04602;0.0261;6.7450913129;;;0;0;0;0;1
YPL097W;-0.0661;-0.14664;8.1850822017;7.54288908292328;7.46721376222715;0;0;0;0;1
YPL100W;-0.05564;-0.02969;9.0337493747;7.8523782299335;7.56596961292318;0;0;0;0;1
YPL103C;-0.02179;-0.01065;7.9934486838;6.49949047047164;6.12484285000733;0;0;0;0;1
YPL107W;-0.09159;-0.03834;8.3483671493;7.42405937870779;7.58240594765457;0;0;0;0;1
YPL111W;-0.0325;-0.00948;7.4178379005;10.4709900510983;9.83227949367905;0;1;0;0;0
YPL115C;-0.81782;-0.79583;8.9849378422;8.15931941772052;7.8963053112023;0;0;1;0;1
YPL116W;-0.02643;-0.04204;8.6659934233;7.9089439905149;7.68266033930652;1;1;1;1;1
YPL120W;-0.04446;-0.08564;7.3929749562;7.40333691813619;7.39354651591816;0;0;0;0;1
YPL127C;-0.5332;-0.60764;10.8285524059;8.98618137699542;9.00267181310101;1;1;1;1;1
YPL132W;-0.13895;-0.11674;8.5546668488;7.55066113558677;7.43946643583535;1;0;0;0;1
YPL133C;0.05195;0.00803;7.970591546;6.80689557833534;6.68336094576628;0;1;0;0;1
YPL134C;0.00254;-0.09974;9.9315826139;7.9572412703451;7.95155933115525;0;0;0;0;1
YPL135W;-0.08558;-0.06746;9.2249758534;9.29019846192603;8.60829649631461;0;0;1;0;0
YPL139C;0.06541;0.07648;9.1373046123;8.41750996682925;8.36321482138254;0;0;0;0;1
YPL140C;0.02134;0.0082;8.5795357302;7.77897799868471;7.531727518156;0;0;0;0;1
YPL141C;-0.07169;-0.0819;8.2148591441;7.41232448491405;7.2632059955147;1;1;1;1;1
YPL144W;0.00301;0.03936;9.0633098038;8.57916279673938;7.63046718764945;1;0;1;0;1
YPL145C;;0.01722;11.0735793868;9.9040390050284;9.79773185210965;1;0;0;0;1
YPL148C;-0.01656;-0.03774;7.572439654;6.56752190371031;6.18620862390049;0;0;0;1;1
YPL152W;0.06583;0.05512;8.5398440448;7.78790707200114;7.57000804303448;0;0;1;0;1
YPL154C;0.04209;-0.03016;13.6666209806;11.2429859781606;10.1010866406683;0;0;1;0;0
YPL155C;-0.75258;-0.79262;8.5815594767;7.39331329527103;7.06459472216639;1;1;1;1;1
YPL157W;0.08144;-0.02424;8.3138899404;7.03831055148978;7.17165682276851;0;0;1;0;0
YPL158C;-0.02708;0.0568;8.913939;6.52310783709026;5.47227067367148;1;1;1;1;1
YPL161C;0.00848;-0.00063;7.5630360905;7.79016774292773;7.61426699228084;0;0;0;0;1
YPL162C;-0.00686;-0.02962;7.3047985766;7.82014976928712;7.9295230882578;0;0;0;1;1
YPL163C;0.05159;0.05903;8.161958287;7.64728969305917;7.62205623048858;1;1;1;1;1
YPL164C;0.05746;-0.01622;7.2030144925;6.16868080245618;5.39183427598189;0;0;0;0;1
YPL166W;-0.01005;0.04087;6.8461760073;7.74552889582737;7.78612405277457;0;0;0;0;1
YPL173W;-0.00294;-0.02068;8.9579956151;8.37668551935046;8.48573276159976;0;0;1;0;0
YPL181W;-0.07645;-0.1724;9.2686380731;7.62830061800777;7.74414157196738;0;0;0;0;1
YPL183C;-0.01456;0.08115;9.2151314138;8.20040757948244;8.03514998444875;1;0;0;1;0
YPL184C;-0.73458;-0.73957;11.0476334738;8.52716017542002;8.44510473371874;0;0;1;0;0
YPL187W;0.01295;0.05564;12.5027148179;8.09027082395092;8.09027082395092;0;1;0;0;0
YPL189W;0.04912;-0.05958;6.2933492185;7.17891164918992;7.17891164918992;0;0;1;0;0
YPL192C;-0.21325;-0.22465;6.0594615306;9.383315000636;9.383315000636;0;0;1;0;0
YPL203W;-0.18757;-0.85916;9.4879721624;8.09295588820415;7.98741645848196;0;0;1;0;0
YPL207W;-0.05566;-0.02278;8.6998255346;8.45828070041287;8.31370254701399;1;0;0;0;0
YPL208W;-0.41704;-0.53178;9.2833823232;7.95730100649914;7.89054991716299;1;1;1;1;1
YPL212C;-0.23356;-0.30694;9.160949959;9.01281249941318;8.96607332290161;1;0;0;0;0
YPL216W;-0.01803;-0.03897;6.5690665522;7.66632929998781;7.66632929998781;0;0;1;0;1
YPL221W;0.01834;-0.03342;9.7610075385;8.09858905440188;8.20040230459612;1;1;0;1;1
YPL222W;-0.08569;-0.08279;6.997962329;7.45704030143564;7.50875995568001;1;0;0;0;0
YPL224C;0.05304;-0.04318;9.5346816123;6.68155677827731;6.68032036792632;0;0;1;0;1
YPL226W;0.00347;0.09416;11.4444740576;10.1500901550349;10.155379320832;1;0;0;0;0
YPL227C;-0.03509;-0.00296;8.8824020712;8.1141786009255;8.00922479520208;1;0;1;0;1
YPL230W;0.01284;-0.09491;6.1796781806;6.14012409625781;5.34726748795388;0;0;0;1;0
YPL232W;-0.14723;-0.06686;10.9306162706;8.7490681024474;8.72144427335515;1;1;1;0;0
YPL236C;0.06955;0.06344;8.5464462152;8.09809772640396;7.56371831630756;1;0;0;0;0
YPL240C;0.00456;0.00199;14.7240651822;11.6748912710973;11.3704714000668;0;0;1;0;1
YPL241C;-0.30294;-0.42777;8.6686886092;7.3023840496193;7.2447000540499;0;1;1;1;1
YPL244C;0.04934;0.00425;9.6205292886;7.60266317124804;7.45286592858505;0;0;1;0;1
YPL246C;0.02752;-0.06234;11.7894293465;8.88039227717612;8.86570322549754;0;0;0;0;1
YPL247C;-0.12429;-0.24407;10.3424664873;7.85945600583655;7.92727557640033;1;0;1;0;0
YPL248C;-0.77183;-0.77016;6.0059645586;6.62733281833511;6.62733281833511;0;0;0;0;1
YPL249C;-0.1103;0.00755;9.7258093058;8.11661547466783;8.05150554414788;0;0;1;0;1
YPL250C;-0.15508;-0.13141;8.5238989735;7.12262254823223;7.30819876694095;0;1;0;0;0
YPL256C;-0.7288;-0.80348;9.0252216386;7.49609734517596;7.49609734517596;1;1;1;1;1
YPL257W;0.04936;0.00407;6.9752166241;;;0;0;0;0;1
YPL258C;-0.03327;0.04034;8.1502390056;7.46155410823447;7.29549848366384;0;0;0;0;1
YPL259C;0.00524;-0.0104;7.9802793306;8.04156553062117;8.00479897345737;0;0;0;0;1
YPL260W;-0.00101;-0.03397;9.3700595006;9.43662327966884;9.33565056294163;0;0;1;0;0
YPL262W;0.09445;0.03377;12.4523249756;9.57110451369555;9.61560546008168;0;0;0;0;1
YPL264C;0.02091;0.02183;8.4570167221;7.11328041152173;7.11328041152173;0;1;0;0;0
YPL265W;-0.01391;-0.05009;8.3065968817;9.76337756196714;8.69291731236979;1;1;1;0;0
YPL267W;-0.191;-0.22325;8.3981777118;7.14029822818087;7.13914184288752;1;1;1;1;1
